last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent,isolated_power,xba,xslg,woba,xwoba,xobp,xiso,
Wainwright, Adam,425794,2021,.220,.352,.274,.132,.251,.388,.273,.302,.305,.137,
Greinke, Zack,425844,2021,.252,.434,.290,.182,.266,.431,.309,.320,.307,.164,
Santana, Ervin,429722,2021,.259,.446,.321,.187,.278,.533,.328,.369,.339,.255,
Kazmir, Scott,431148,2021,.313,.563,.382,.250,.299,.580,.398,.401,.377,.281,
Petit, Yusmeiro,433589,2021,.233,.395,.262,.162,.265,.456,.280,.321,.295,.191,
Kintzler, Brandon,445213,2021,.344,.580,.383,.236,.315,.519,.402,.376,.361,.204,
Jansen, Kenley,445276,2021,.153,.233,.266,.080,.180,.271,.229,.260,.295,.091,
Chavez, Jesse,445926,2021,.192,.267,.256,.075,.214,.346,.230,.271,.277,.131,
Detwiler, Ross,446321,2021,.222,.449,.314,.227,.220,.392,.326,.317,.317,.172,
Kluber, Corey,446372,2021,.247,.375,.328,.128,.240,.372,.310,.309,.323,.132,
Hill, Rich,448179,2021,.235,.402,.315,.167,.240,.414,.313,.323,.323,.174,
Doolittle, Sean,448281,2021,.258,.454,.336,.196,.242,.417,.336,.320,.327,.175,
Guerra, Junior,448855,2021,.262,.379,.378,.117,.241,.351,.338,.324,.361,.111,
Morton, Charlie,450203,2021,.203,.309,.279,.106,.217,.332,.264,.282,.296,.115,
Davis, Wade,451584,2021,.270,.454,.342,.184,.280,.499,.341,.372,.360,.219,
Albers, Andrew,452027,2021,.304,.709,.382,.405,.352,.669,.446,.457,.425,.316,
Lester, Jon,452657,2021,.285,.478,.346,.193,.274,.454,.352,.344,.342,.180,
Kennedy, Ian,453178,2021,.216,.418,.281,.202,.226,.428,.296,.305,.291,.202,
Miller, Andrew,453192,2021,.293,.486,.378,.193,.241,.411,.372,.333,.340,.170,
Watson, Tony,453265,2021,.193,.285,.258,.092,.224,.359,.241,.283,.286,.136,
Bard, Daniel,453268,2021,.265,.431,.368,.166,.236,.357,.350,.316,.344,.122,
LeBlanc, Wade,453281,2021,.283,.480,.348,.197,.291,.487,.353,.362,.359,.196,
Parker, Blake,453284,2021,.257,.395,.319,.138,.251,.400,.310,.311,.314,.149,
Scherzer, Max,453286,2021,.185,.331,.238,.146,.196,.355,.248,.264,.249,.159,
Melancon, Mark,453343,2021,.228,.316,.302,.088,.264,.384,.270,.315,.337,.120,
Arrieta, Jake,453562,2021,.320,.563,.386,.243,.286,.511,.400,.374,.362,.225,
Martin, Chris,455119,2021,.290,.402,.320,.112,.267,.414,.313,.309,.299,.147,
Price, David,456034,2021,.272,.428,.334,.156,.258,.384,.330,.313,.327,.127,
Cueto, Johnny,456501,2021,.285,.465,.329,.180,.278,.452,.342,.339,.329,.174,
Happ, J.A.,457918,2021,.288,.511,.340,.223,.275,.503,.361,.356,.330,.228,
Lindblom, Josh,458676,2021,.324,.662,.424,.338,.305,.600,.449,.443,.417,.295,
Wilson, Justin,458677,2021,.244,.435,.329,.191,.232,.414,.332,.323,.321,.183,
Lynn, Lance,458681,2021,.209,.338,.265,.129,.198,.322,.264,.256,.258,.124,
Tomlin, Josh,458708,2021,.327,.550,.344,.223,.297,.503,.377,.350,.316,.205,
McGee, Jake,459429,2021,.196,.330,.234,.134,.217,.380,.242,.271,.255,.163,
Clippard, Tyler,461325,2021,.232,.400,.324,.168,.263,.507,.315,.366,.355,.244,
Swarzak, Anthony,461872,2021,.370,.704,.393,.334,.326,.624,.458,.410,.350,.298,
Soria, Joakim,465657,2021,.269,.483,.327,.214,.245,.400,.344,.307,.306,.154,
Chacin, Jhoulys,468504,2021,.222,.406,.301,.184,.244,.392,.306,.318,.325,.148,
Carrasco, Carlos,471911,2021,.272,.502,.325,.230,.257,.452,.350,.331,.312,.196,
Abad, Fernando,472551,2021,.307,.453,.366,.146,.283,.405,.350,.327,.344,.122,
Garcia, Luis,472610,2021,.202,.298,.252,.096,.230,.377,.239,.282,.279,.147,
Anderson, Brett,474463,2021,.276,.439,.323,.163,.299,.473,.328,.363,.353,.173,
Luetge, Lucas,476595,2021,.238,.359,.282,.121,.243,.358,.279,.282,.287,.115,
Kershaw, Clayton,477132,2021,.224,.374,.260,.150,.222,.373,.274,.275,.261,.151,
Buchter, Ryan,488748,2021,.258,.581,.397,.323,.238,.515,.406,.388,.386,.276,
Miley, Wade,489119,2021,.265,.408,.317,.143,.253,.399,.317,.312,.311,.146,
Romo, Sergio,489265,2021,.238,.404,.305,.166,.218,.365,.305,.287,.289,.147,
Stammen, Craig,489334,2021,.235,.384,.268,.149,.241,.385,.279,.287,.275,.144,
Valdez, Cesar,491624,2021,.320,.526,.367,.206,.297,.456,.376,.345,.347,.159,
Ottavino, Adam,493603,2021,.239,.374,.351,.135,.209,.317,.324,.297,.332,.109,
Guerra, Deolis,500610,2021,.218,.358,.286,.140,.203,.346,.283,.273,.273,.144,
Quintana, Jose,500779,2021,.286,.483,.370,.197,.254,.436,.366,.341,.346,.182,
Pineda, Michael,501381,2021,.265,.453,.299,.188,.282,.475,.320,.338,.317,.193,
Alvarez, Jose,501625,2021,.217,.279,.271,.062,.250,.342,.245,.287,.304,.091,
Smith, Joe,501925,2021,.297,.462,.335,.165,.242,.389,.339,.291,.289,.147,
Minor, Mike,501985,2021,.252,.447,.302,.195,.245,.449,.321,.321,.297,.204,
Archer, Chris,502042,2021,.240,.413,.313,.173,.265,.527,.316,.367,.336,.262,
Gibson, Kyle,502043,2021,.234,.363,.305,.129,.241,.368,.293,.302,.314,.127,
Robertson, David,502085,2021,.239,.413,.300,.174,.253,.404,.308,.311,.313,.151,
Britton, Zack,502154,2021,.262,.400,.402,.138,.184,.277,.355,.291,.337,.093,
Cobb, Alex,502171,2021,.240,.336,.308,.096,.257,.360,.286,.307,.326,.103,
Espino, Paolo,502179,2021,.256,.460,.295,.204,.271,.483,.319,.337,.311,.212,
Boxberger, Brad,502202,2021,.192,.332,.282,.140,.203,.349,.274,.286,.297,.146,
Cahill, Trevor,502239,2021,.286,.422,.343,.136,.268,.440,.332,.335,.332,.172,
Santiago, Hector,502327,2021,.257,.390,.325,.133,.209,.288,.312,.259,.283,.079,
Miller, Justin,502522,2021,.278,.528,.337,.250,.311,.590,.369,.407,.375,.279,
Anderson, Chase,502624,2021,.268,.521,.344,.253,.261,.487,.366,.358,.342,.226,
Holland, Derek,502706,2021,.287,.455,.351,.168,.249,.401,.345,.313,.318,.152,
Peralta, Wily,503449,2021,.247,.415,.321,.168,.258,.423,.319,.335,.337,.164,
Dolis, Rafael,503569,2021,.232,.352,.378,.120,.222,.341,.327,.324,.371,.119,
Darvish, Yu,506433,2021,.222,.429,.279,.207,.209,.376,.301,.282,.270,.168,
Colome, Alex,517008,2021,.264,.411,.328,.147,.255,.447,.319,.335,.324,.192,
Alexander, Scott,518397,2021,.242,.371,.299,.129,.256,.357,.287,.293,.312,.101,
Brasier, Ryan,518489,2021,.267,.422,.320,.155,.244,.341,.319,.301,.312,.097,
Bumgarner, Madison,518516,2021,.242,.439,.300,.197,.245,.433,.315,.320,.307,.187,
Cishek, Steve,518553,2021,.238,.316,.351,.078,.214,.323,.299,.298,.337,.109,
Diekman, Jake,518617,2021,.211,.390,.324,.179,.219,.399,.312,.323,.334,.180,
Duffy, Danny,518633,2021,.226,.357,.294,.131,.246,.415,.284,.315,.312,.169,
Harvey, Matt,518774,2021,.299,.481,.347,.182,.289,.476,.355,.351,.340,.188,
Holland, Greg,518813,2021,.229,.407,.313,.178,.259,.494,.310,.359,.343,.235,
Jones, Nate,518858,2021,.219,.534,.333,.315,.258,.521,.349,.365,.368,.264,
Kelly, Merrill,518876,2021,.266,.433,.312,.167,.271,.432,.319,.324,.320,.161,
Kimbrel, Craig,518886,2021,.150,.272,.243,.122,.158,.268,.230,.236,.251,.110,
McFarland, T.J.,519008,2021,.237,.370,.285,.133,.250,.396,.282,.300,.297,.146,
Moore, Matt,519043,2021,.274,.509,.353,.235,.252,.441,.368,.338,.343,.189,
Nelson, Jimmy,519076,2021,.143,.184,.267,.041,.139,.199,.223,.227,.267,.060,
Pomeranz, Drew,519141,2021,.211,.333,.284,.122,.211,.353,.267,.275,.285,.142,
Pressly, Ryan,519151,2021,.208,.297,.248,.089,.200,.326,.238,.247,.242,.126,
Sale, Chris,519242,2021,.269,.419,.333,.150,.232,.347,.326,.287,.299,.115,
Smith, Will,519293,2021,.198,.403,.290,.205,.196,.353,.297,.284,.290,.156,
Strickland, Hunter,519326,2021,.213,.380,.289,.167,.214,.397,.292,.301,.292,.183,
Workman, Brandon,519443,2021,.313,.487,.419,.174,.314,.509,.389,.399,.420,.196,
Hendriks, Liam,521230,2021,.174,.318,.199,.144,.169,.320,.220,.219,.194,.151,
Kelly, Joe,523260,2021,.174,.286,.258,.112,.208,.315,.242,.279,.296,.106,
Perez, Martin,527048,2021,.296,.481,.356,.185,.280,.471,.358,.356,.345,.190,
Castellanos, Humberto,528748,2021,.277,.462,.332,.185,.243,.414,.347,.317,.311,.171,
Shoemaker, Matt,533167,2021,.297,.537,.363,.240,.287,.532,.380,.380,.360,.245,
Ramirez, Erasmo,541640,2021,.238,.406,.275,.168,.238,.412,.290,.295,.276,.174,
Cisnero, Jose,542585,2021,.226,.345,.325,.119,.228,.379,.300,.314,.329,.151,
Anderson, Tyler,542881,2021,.262,.452,.297,.190,.260,.429,.319,.317,.302,.169,
Andriese, Matt,542882,2021,.323,.488,.369,.165,.290,.461,.367,.346,.341,.171,
Armstrong, Shawn,542888,2021,.265,.531,.339,.266,.244,.484,.367,.345,.321,.239,
Bass, Anthony,542914,2021,.241,.425,.315,.184,.256,.441,.312,.330,.333,.185,
Bleier, Richard,542947,2021,.241,.335,.267,.094,.241,.344,.256,.270,.275,.102,
Brach, Brad,542960,2021,.254,.449,.353,.195,.233,.425,.343,.333,.342,.192,
Chatwood, Tyler,543022,2021,.217,.317,.352,.100,.230,.350,.308,.326,.364,.120,
Cole, Gerrit,543037,2021,.223,.372,.267,.149,.209,.369,.276,.273,.257,.160,
Conley, Adam,543045,2021,.212,.364,.289,.152,.219,.327,.284,.284,.299,.108,
Coulombe, Danny,543056,2021,.267,.443,.302,.176,.232,.399,.317,.287,.271,.166,
DeSclafani, Anthony,543101,2021,.225,.358,.274,.133,.242,.411,.276,.305,.292,.169,
Eovaldi, Nathan,543135,2021,.253,.402,.293,.149,.239,.366,.298,.283,.281,.127,
Gray, Sonny,543243,2021,.225,.385,.301,.160,.216,.326,.300,.279,.296,.109,
Hand, Brad,543272,2021,.235,.408,.317,.173,.250,.432,.310,.330,.335,.182,
Hendricks, Kyle,543294,2021,.278,.481,.327,.203,.277,.456,.345,.339,.329,.179,
Hudson, Daniel,543339,2021,.211,.405,.267,.194,.199,.399,.284,.281,.258,.200,
Jackson, Jay,543351,2021,.197,.382,.300,.185,.205,.406,.299,.317,.313,.201,
Lyles, Jordan,543475,2021,.278,.499,.334,.221,.275,.482,.354,.351,.334,.207,
May, Trevor,543507,2021,.227,.401,.297,.174,.192,.349,.297,.264,.265,.157,
McHugh, Collin,543521,2021,.207,.289,.251,.082,.202,.285,.236,.233,.248,.083,
Milone, Tommy,543548,2021,.323,.581,.354,.258,.295,.464,.393,.342,.328,.168,
Nolin, Sean,543594,2021,.302,.500,.382,.198,.237,.375,.379,.311,.329,.138,
Odorizzi, Jake,543606,2021,.243,.429,.304,.186,.254,.448,.316,.330,.317,.194,
Shaw, Bryan,543766,2021,.235,.388,.323,.153,.250,.399,.313,.326,.338,.149,
Familia, Jeurys,544727,2021,.248,.435,.328,.187,.229,.358,.330,.299,.316,.129,
Strasburg, Stephen,544931,2021,.200,.388,.326,.188,.249,.457,.308,.355,.369,.208,
Bauer, Trevor,545333,2021,.182,.374,.257,.192,.197,.385,.274,.285,.272,.188,
Head, Louis,545343,2021,.175,.250,.246,.075,.188,.338,.225,.265,.260,.150,
Poteet, Cody,547001,2021,.216,.457,.311,.241,.235,.467,.329,.342,.328,.232,
